,Hour,Day,Month,Electricity [MWh],PV [MWh],Price,Peak,CO2
367,7,16,January,0.0769617026906237,0.0,0.2324,Peak,366.02618709575637
368,8,16,January,0.09994982900534928,0.0,0.2324,Peak,380.62785928379867
369,9,16,January,0.0791586616105683,0.05614906848865772,0.2324,Peak,382.10443287584786
370,10,16,January,0.07423582074631509,0.07916330768267905,0.2324,Peak,376.69032970500086
371,11,16,January,0.07017941585586081,0.0990132400168482,0.2324,Peak,375.5418835778514
372,12,16,January,0.09913394702975584,0.045455222231728966,0.2324,Peak,377.18252090235046
373,13,16,January,0.07173836279870656,0.00916097045436517,0.2324,Peak,372.424672661303
374,14,16,January,0.06961748140898442,0.013862687197911585,0.2324,Peak,377.18252090235046
375,15,16,January,0.06270542130722621,0.006432144795440197,0.2324,Peak,388.0107272440448
376,16,16,January,0.0585330035651174,0.0,0.2324,Peak,403.9249092916864
377,17,16,January,0.05933860645190455,0.0,0.2324,Peak,425.9094494399748
378,18,16,January,0.09839994400271833,0.0,0.2324,Peak,448.2221170531629
379,19,16,January,0.13174292916072036,0.0,0.2324,Peak,460.8550244518063
380,20,16,January,0.060138742886897564,0.0,0.2324,Peak,463.3159804385549
381,21,16,January,0.056539855207402186,0.0,0.2324,Peak,458.23000473260765
382,22,16,January,0.04157111329883165,0.0,0.2324,Peak,450.19088184256185
383,23,16,January,0.034632382993282626,0.0,0.2187,Off-Peak,427.22195929957405
384,0,17,January,0.031344567345199824,0.0,0.2187,Off-Peak,396.54204133144026
385,1,17,January,0.03113614231056745,0.0,0.2187,Off-Peak,363.40116737655785
386,2,17,January,0.029047816029169612,0.0,0.2187,Off-Peak,345.35415680706734
387,3,17,January,0.029209898106589294,0.0,0.2187,Off-Peak,331.5728032812746
388,4,17,January,0.028503737822734517,0.0,0.2187,Off-Peak,327.143082505127
389,5,17,January,0.032576627378133265,0.0,0.2187,Off-Peak,327.79933743492666
390,6,17,January,0.06961982934831906,0.0,0.2324,Peak,334.5259504653731
391,7,17,January,0.07630854276500808,0.0,0.2324,Peak,366.02618709575637
392,8,17,January,0.1002882958230733,0.0,0.2324,Peak,380.62785928379867
